whisky_id,old_whisky_id,whisky_name,production_bottle_name,mapped_name,mapping_score,mapping_method,flavor_profile,flavor_vector,flavor_tags,flavor_source,flavor_match_score,flavor_data_confidence,notes_for_review
WDB-01462,W001462,colonel e.h. taylor straight rye,Colonel E.H. Taylor Straight Rye,Colonel E.H. Taylor Straight Rye,100,exact,"{""fruity"": 6.0, ""sweet"": 4.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 8.0, ""floral_herbal"": 4.0, ""malty_cereal"": 12.0}","{""apple"": 2.0, ""citrus"": 2.0, ""lemon"": 1.0, ""orange"": 1.0, ""complex"": 2.0, ""dry"": 3.0, ""old"": 2.0, ""smooth"": 1.0, ""chocolate"": 2.0, ""cocoa"": 1.0, ""clove"": 1.0, ""floral"": 2.0, ""licorice"": 1.0, ""mint"": 2.0, ""tobacco"": 2.0, ""wood"": 2.0, ""bitter"": 2.0, ""oak"": 4.0, ""sour"": 2.0, ""caramel"": 1.0}","[""oak"", ""dry"", ""apple"", ""citrus"", ""complex""]",production_data.csv,100,high,MAPPED
WDB-01300,W001300,compass box asyla,Compass Box Asyla,Compass Box Asyla,100,exact,"{""fruity"": 1.0, ""sweet"": 10.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 7.0, ""floral_herbal"": 17.0, ""malty_cereal"": 0.0}","{""banana"": 1.0, ""honey"": 3.0, ""tea"": 2.0, ""floral"": 6.0, ""vanilla"": 3.0, ""herbal"": 2.0, ""oak"": 7.0, ""sweet"": 4.0, ""green"": 7.0}","[""oak"", ""green"", ""floral"", ""sweet"", ""honey""]",production_data.csv,100,high,MAPPED
WDB-01257,W001257,compass box great king st artist's blend,Compass Box Great King St. Artist's Blend,Compass Box Great King St Artist's Blend,100,exact,"{""fruity"": 0.0, ""sweet"": 3.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 3.0, ""floral_herbal"": 4.0, ""malty_cereal"": 4.0}","{""earthy"": 1.0, ""old"": 2.0, ""floral"": 4.0, ""sugar"": 1.0, ""vanilla"": 2.0, ""sherry"": 2.0, ""oak"": 2.0}","[""floral"", ""old"", ""vanilla"", ""sherry"", ""oak""]",production_data.csv,100,high,MAPPED
WDB-00544,W000544,compass box oak cross,Compass Box Oak Cross,Compass Box Oak Cross,100,exact,"{""fruity"": 8.0, ""sweet"": 4.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 5.0, ""floral_herbal"": 0.0, ""malty_cereal"": 16.0}","{""apple"": 4.0, ""fruity"": 2.0, ""pear"": 2.0, ""light"": 12.0, ""smooth"": 1.0, ""toffee"": 3.0, ""coffee"": 1.0, ""bitter"": 2.0, ""creamy"": 1.0, ""oak"": 4.0, ""sweet"": 1.0}","[""light"", ""apple"", ""oak"", ""toffee"", ""fruity""]",production_data.csv,100,high,MAPPED
WDB-01081,W001081,connemara peated single malt,Connemara Peated,Connemara Peated Single Malt,100,exact,"{""fruity"": 0.0, ""sweet"": 4.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 0.0, ""malty_cereal"": 4.0}","{""light"": 4.0, ""honey"": 2.0, ""sugar"": 1.0, ""oak"": 1.0, ""sweet"": 1.0}","[""light"", ""honey"", ""sugar"", ""oak"", ""sweet""]",production_data.csv,100,high,MAPPED
WDB-00360,W000360,dalmore king alexander iii,Dalmore 1263 King Alexander III,Dalmore King Alexander III,100,exact,"{""fruity"": 3.0, ""sweet"": 5.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 6.0, ""floral_herbal"": 0.0, ""malty_cereal"": 2.0}","{""orange"": 2.0, ""raisins"": 1.0, ""earthy"": 2.0, ""smooth"": 1.0, ""barley"": 1.0, ""chocolate"": 2.0, ""tobacco"": 1.0, ""vanilla"": 1.0, ""oak"": 3.0, ""caramel"": 2.0}","[""oak"", ""orange"", ""earthy"", ""chocolate"", ""caramel""]",production_data.csv,100,high,MAPPED
WDB-00866,W000866,deanston virgin oak,Deanston Virgin Oak,Deanston Virgin Oak,100,exact,"{""fruity"": 9.0, ""sweet"": 1.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 6.0, ""floral_herbal"": 2.0, ""malty_cereal"": 2.0}","{""citrus"": 2.0, ""fruity"": 2.0, ""lemon"": 2.0, ""orange"": 1.0, ""zest"": 2.0, ""barley"": 2.0, ""honey"": 1.0, ""oak"": 6.0, ""green"": 2.0}","[""oak"", ""citrus"", ""fruity"", ""lemon"", ""zest""]",production_data.csv,100,high,MAPPED
WDB-01358,W001358,dewar's white label,Dewar's White Label,Dewar's White Label,100,exact,"{""fruity"": 0.0, ""sweet"": 0.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 3.0, ""malty_cereal"": 0.0}","{""tea"": 3.0, ""wood"": 1.0}","[""tea"", ""wood""]",production_data.csv,100,high,MAPPED
WDB-01808,W001808,evan williams (black label),Evan Williams Black Label,Evan Williams (Black Label),100,exact,"{""fruity"": 0.0, ""sweet"": 9.0, ""spicy"": 4.0, ""smoky_peaty"": 0.0, ""oak_cask"": 7.0, ""floral_herbal"": 4.0, ""malty_cereal"": 7.0}","{""earthy"": 1.0, ""light"": 2.0, ""candy"": 1.0, ""chocolate"": 1.0, ""cinnamon"": 2.0, ""toffee"": 1.0, ""mint"": 2.0, ""vanilla"": 1.0, ""bitter"": 4.0, ""creamy"": 1.0, ""nutty"": 1.0, ""oak"": 5.0, ""spicy"": 2.0, ""sweet"": 4.0, ""green"": 2.0, ""caramel"": 1.0}","[""oak"", ""bitter"", ""sweet"", ""light"", ""cinnamon""]",production_data.csv,100,high,MAPPED
WDB-01221,W001221,finlaggan old reserve,Finlaggan Old Reserve,Finlaggan Old Reserve,100,exact,"{""fruity"": 0.0, ""sweet"": 0.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 4.0}","{""complex"": 2.0, ""old"": 2.0}","[""complex"", ""old""]",production_data.csv,100,high,MAPPED
WDB-01537,W001537,forty creek barrel select,Forty Creek Barrel Select,Forty Creek Barrel Select,100,exact,"{""fruity"": 0.0, ""sweet"": 9.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 7.0}","{""corn"": 3.0, ""vanilla"": 1.0, ""creamy"": 2.0, ""sweet"": 8.0, ""amber"": 2.0}","[""sweet"", ""corn"", ""creamy"", ""amber"", ""vanilla""]",production_data.csv,100,high,MAPPED
WDB-01484,W001484,forty creek copper pot reserve,Forty Creek Copper Pot Reserve,Forty Creek Copper Pot Reserve,100,exact,"{""fruity"": 0.0, ""sweet"": 19.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 26.0}","{""heavy"": 4.0, ""light"": 2.0, ""barley"": 6.0, ""butterscotch"": 4.0, ""cinnamon"": 2.0, ""corn"": 8.0, ""toffee"": 1.0, ""sugar"": 3.0, ""vanilla"": 1.0, ""maple"": 2.0, ""rich"": 2.0, ""sweet"": 4.0, ""brown"": 4.0, ""caramel"": 4.0}","[""corn"", ""barley"", ""heavy"", ""butterscotch"", ""sweet""]",production_data.csv,100,high,MAPPED
WDB-01814,W001814,jack daniel's gentleman jack,Gentleman Jack,Jack Daniel's Gentleman Jack,100,exact,"{""fruity"": 1.0, ""sweet"": 19.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 14.0, ""floral_herbal"": 0.0, ""malty_cereal"": 18.0}","{""cherry"": 1.0, ""light"": 4.0, ""lingering"": 2.0, ""mellow"": 2.0, ""old"": 2.0, ""buttery"": 2.0, ""corn"": 2.0, ""spices"": 2.0, ""sugar"": 7.0, ""vanilla"": 3.0, ""wood"": 5.0, ""oak"": 9.0, ""sweet"": 5.0, ""amber"": 4.0, ""brown"": 2.0, ""caramel"": 2.0}","[""oak"", ""sugar"", ""wood"", ""sweet"", ""light""]",production_data.csv,100,high,MAPPED
WDB-00797,W000797,glen garioch founder's reserve,Glen Garioch Founder's Reserve,Glen Garioch Founder's Reserve,100,exact,"{""fruity"": 1.0, ""sweet"": 5.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 2.0, ""malty_cereal"": 4.0}","{""pear"": 1.0, ""dry"": 2.0, ""honey"": 2.0, ""vanilla"": 1.0, ""wood"": 1.0, ""ginger"": 2.0, ""sour"": 1.0, ""amber"": 1.0, ""green"": 2.0, ""caramel"": 2.0}","[""dry"", ""honey"", ""ginger"", ""green"", ""caramel""]",production_data.csv,100,high,MAPPED
WDB-00172,W000172,glenfiddich snow phoenix,Glenfiddich Snow Phoenix,Glenfiddich Snow Phoenix,100,exact,"{""fruity"": 5.0, ""sweet"": 6.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 2.0, ""malty_cereal"": 4.0}","{""citrus"": 3.0, ""fruity"": 2.0, ""light"": 2.0, ""mellow"": 2.0, ""floral"": 2.0, ""wood"": 1.0, ""sweet"": 6.0}","[""sweet"", ""citrus"", ""fruity"", ""light"", ""mellow""]",production_data.csv,100,high,MAPPED
WDB-00459,W000459,glenmorangie astar,Glenmorangie Astar,Glenmorangie Astar,100,exact,"{""fruity"": 2.0, ""sweet"": 6.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 2.0}","{""lemon"": 2.0, ""dry"": 1.0, ""old"": 1.0, ""sugar"": 4.0, ""vanilla"": 2.0, ""ginger"": 2.0}","[""sugar"", ""lemon"", ""vanilla"", ""ginger"", ""dry""]",production_data.csv,100,high,MAPPED
WDB-00160,W000160,glenmorangie companta,Glenmorangie Companta,Glenmorangie Companta,100,exact,"{""fruity"": 0.0, ""sweet"": 2.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 2.0, ""floral_herbal"": 0.0, ""malty_cereal"": 6.0}","{""dry"": 2.0, ""light"": 2.0, ""old"": 2.0, ""cocoa"": 2.0, ""wood"": 2.0}","[""dry"", ""light"", ""old"", ""cocoa"", ""wood""]",production_data.csv,100,high,MAPPED
WDB-00442,W000442,glenmorangie ealanta,Glenmorangie Ealanta,Glenmorangie Ealanta,100,exact,"{""fruity"": 0.0, ""sweet"": 1.0, ""spicy"": 1.0, ""smoky_peaty"": 0.0, ""oak_cask"": 5.0, ""floral_herbal"": 0.0, ""malty_cereal"": 2.0}","{""honey"": 1.0, ""peppery"": 1.0, ""bitter"": 2.0, ""oak"": 5.0}","[""oak"", ""bitter"", ""honey"", ""peppery""]",production_data.csv,100,high,MAPPED
WDB-00344,W000344,glenmorangie lasanta,Glenmorangie Lasanta,Glenmorangie Lasanta,100,exact,"{""fruity"": 2.0, ""sweet"": 4.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 0.0}","{""citrus"": 2.0, ""chocolate"": 1.0, ""honey"": 1.0, ""peppery"": 2.0, ""sweet"": 2.0}","[""citrus"", ""peppery"", ""sweet"", ""chocolate"", ""honey""]",production_data.csv,100,high,MAPPED
WDB-00213,W000213,glenmorangie nectar d'or,Glenmorangie Nectar D'Or,Glenmorangie Nectar d'Or,100,exact,"{""fruity"": 2.0, ""sweet"": 4.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 2.0, ""malty_cereal"": 1.0}","{""lemon"": 2.0, ""honey"": 2.0, ""floral"": 2.0, ""vanilla"": 2.0, ""sherry"": 1.0}","[""lemon"", ""honey"", ""floral"", ""vanilla"", ""sherry""]",production_data.csv,100,high,MAPPED
WDB-00281,W000281,glenmorangie quinta ruban,Glenmorangie Quinta Ruban,Glenmorangie Quinta Ruban,100,exact,"{""fruity"": 0.0, ""sweet"": 4.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 2.0, ""malty_cereal"": 6.0}","{""complex"": 1.0, ""heavy"": 2.0, ""old"": 1.0, ""tea"": 2.0, ""clove"": 2.0, ""vanilla"": 3.0, ""rich"": 2.0, ""sweet"": 1.0}","[""vanilla"", ""heavy"", ""tea"", ""clove"", ""rich""]",production_data.csv,100,high,MAPPED
WDB-00097,W000097,glenmorangie signet,Glenmorangie Signet,Glenmorangie Signet,100,exact,"{""fruity"": 8.0, ""sweet"": 10.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 5.0, ""floral_herbal"": 2.0, ""malty_cereal"": 9.0}","{""citrus"": 2.0, ""orange"": 6.0, ""old"": 3.0, ""chocolate"": 7.0, ""cocoa"": 1.0, ""coffee"": 2.0, ""floral"": 2.0, ""malty"": 2.0, ""sugar"": 1.0, ""wood"": 3.0, ""sherry"": 2.0, ""sweet"": 1.0, ""brown"": 2.0}","[""chocolate"", ""orange"", ""old"", ""wood"", ""citrus""]",production_data.csv,100,high,MAPPED
WDB-00611,W000611,glenrothes vintage 1998 (2014),Glenrothes 1998,Glenrothes Vintage 1998 (2014),100,exact,"{""fruity"": 4.0, ""sweet"": 12.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 2.0}","{""citrus"": 4.0, ""light"": 2.0, ""honey"": 2.0, ""vanilla"": 4.0, ""sweet"": 6.0}","[""sweet"", ""citrus"", ""vanilla"", ""light"", ""honey""]",production_data.csv,100,high,MAPPED
WDB-00678,W000678,glenrothes select reserve,Glenrothes Select Reserve,Glenrothes Select Reserve,100,exact,"{""fruity"": 6.0, ""sweet"": 0.0, ""spicy"": 1.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 5.0}","{""apple"": 1.0, ""lemon"": 5.0, ""smooth"": 1.0, ""clove"": 1.0, ""creamy"": 2.0, ""sour"": 2.0}","[""lemon"", ""creamy"", ""sour"", ""apple"", ""smooth""]",production_data.csv,100,high,MAPPED
WDB-01345,W001345,grant's family reserve blended,Grant's Family Reserve,Grant's Family Reserve Blended,100,exact,"{""fruity"": 0.0, ""sweet"": 0.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 0.0}",{},[],production_data.csv,100,high,MAPPED
WDB-01384,W001384,high west midwinter night’s dram rye,High West A Midwinter Nights Dram,High West Midwinter Night’s Dram Rye,100,exact,"{""fruity"": 0.0, ""sweet"": 7.0, ""spicy"": 3.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 4.0}","{""light"": 2.0, ""old"": 2.0, ""cinnamon"": 2.0, ""nutmeg"": 1.0, ""sweet"": 6.0, ""caramel"": 1.0}","[""sweet"", ""light"", ""old"", ""cinnamon"", ""nutmeg""]",production_data.csv,95,high,MAPPED
WDB-00327,W000327,highland park dark origins,Highland Park Dark Origins,Highland Park Dark Origins,100,exact,"{""fruity"": 2.0, ""sweet"": 6.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 8.0}","{""cherry"": 2.0, ""complex"": 1.0, ""sugar"": 2.0, ""vanilla"": 1.0, ""sherry"": 6.0, ""bitter"": 1.0, ""sweet"": 3.0}","[""sherry"", ""sweet"", ""cherry"", ""sugar"", ""complex""]",production_data.csv,100,high,MAPPED
WDB-01074,W001074,jura superstition,Jura Superstition,Jura Superstition,100,exact,"{""fruity"": 0.0, ""sweet"": 4.0, ""spicy"": 0.0, ""smoky_peaty"": 2.0, ""oak_cask"": 2.0, ""floral_herbal"": 0.0, ""malty_cereal"": 2.0}","{""complex"": 2.0, ""toffee"": 2.0, ""peaty"": 2.0, ""vanilla"": 2.0, ""wood"": 2.0}","[""complex"", ""toffee"", ""peaty"", ""vanilla"", ""wood""]",production_data.csv,100,high,MAPPED
WDB-01363,W001363,j&b rare,J&B Rare,J&B Rare,100,exact,"{""fruity"": 5.0, ""sweet"": 8.0, ""spicy"": 5.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 2.0}","{""apple"": 1.0, ""fruity"": 2.0, ""raisins"": 2.0, ""lingering"": 2.0, ""candy"": 1.0, ""cinnamon"": 1.0, ""nutmeg"": 2.0, ""peppery"": 2.0, ""sugar"": 2.0, ""vanilla"": 1.0, ""sweet"": 4.0}","[""sweet"", ""fruity"", ""raisins"", ""lingering"", ""nutmeg""]",production_data.csv,100,high,MAPPED
WDB-01748,W001748,jim beam bonded,Jim Beam Bonded,Jim Beam Bonded,100,exact,"{""fruity"": 0.0, ""sweet"": 5.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 3.0, ""floral_herbal"": 2.0, ""malty_cereal"": 11.0}","{""complex"": 2.0, ""light"": 1.0, ""mellow"": 4.0, ""smooth"": 2.0, ""roses"": 2.0, ""oak"": 3.0, ""sour"": 2.0, ""sweet"": 2.0, ""caramel"": 3.0}","[""mellow"", ""oak"", ""caramel"", ""complex"", ""smooth""]",production_data.csv,100,high,MAPPED
WDB-01809,W001809,jim beam devil's cut,Jim Beam Devil's Cut,Jim Beam Devil's Cut,100,exact,"{""fruity"": 10.0, ""sweet"": 17.0, ""spicy"": 11.0, ""smoky_peaty"": 0.0, ""oak_cask"": 17.0, ""floral_herbal"": 0.0, ""malty_cereal"": 6.0}","{""cherry"": 2.0, ""fruity"": 2.0, ""lemon"": 1.0, ""orange"": 5.0, ""earthy"": 2.0, ""butterscotch"": 3.0, ""cinnamon"": 1.0, ""nutmeg"": 3.0, ""spices"": 6.0, ""sugar"": 1.0, ""vanilla"": 5.0, ""wood"": 6.0, ""bitter"": 4.0, ""ginger"": 1.0, ""maple"": 2.0, ""oak"": 9.0, ""sweet"": 4.0, ""brown"": 2.0, ""caramel"": 2.0}","[""oak"", ""spices"", ""wood"", ""orange"", ""vanilla""]",production_data.csv,100,high,MAPPED
WDB-01725,W001725,jim beam single barrel,Jim Beam Single Barrel,Jim Beam Single Barrel,100,exact,"{""fruity"": 0.0, ""sweet"": 5.0, ""spicy"": 6.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 0.0, ""malty_cereal"": 4.0}","{""barley"": 2.0, ""chocolate"": 1.0, ""cinnamon"": 2.0, ""spices"": 2.0, ""sugar"": 2.0, ""vanilla"": 2.0, ""oak"": 1.0, ""spicy"": 2.0, ""brown"": 2.0}","[""barley"", ""cinnamon"", ""spices"", ""sugar"", ""vanilla""]",production_data.csv,100,high,MAPPED
WDB-01825,W001825,jim beam white label,Jim Beam White Label,Jim Beam White Label,100,exact,"{""fruity"": 0.0, ""sweet"": 6.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 3.0}","{""old"": 2.0, ""corn"": 1.0, ""sugar"": 1.0, ""vanilla"": 2.0, ""caramel"": 3.0}","[""caramel"", ""old"", ""vanilla"", ""corn"", ""sugar""]",production_data.csv,100,high,MAPPED
WDB-01258,W001258,johnnie walker blue label,Johnnie Walker Blue Label,Johnnie Walker Blue Label,100,exact,"{""fruity"": 4.0, ""sweet"": 2.0, ""spicy"": 1.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 8.0}","{""citrus"": 1.0, ""fruity"": 2.0, ""orange"": 1.0, ""complex"": 2.0, ""mild"": 2.0, ""cocoa"": 1.0, ""sugar"": 1.0, ""bitter"": 1.0, ""salty"": 1.0, ""spicy"": 1.0, ""brown"": 2.0}","[""fruity"", ""complex"", ""mild"", ""brown"", ""citrus""]",production_data.csv,100,high,MAPPED
WDB-01287,W001287,johnnie walker double black,Johnnie Walker Double Black,Johnnie Walker Double Black,100,exact,"{""fruity"": 0.0, ""sweet"": 5.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 1.0, ""malty_cereal"": 4.0}","{""mild"": 1.0, ""honey"": 3.0, ""sherry"": 3.0, ""sweet"": 2.0, ""green"": 1.0}","[""honey"", ""sherry"", ""sweet"", ""mild"", ""green""]",production_data.csv,100,high,MAPPED
WDB-01276,W001276,johnnie walker platinum label,Johnnie Walker Platinum Label,Johnnie Walker Platinum Label,100,exact,"{""fruity"": 3.0, ""sweet"": 33.0, ""spicy"": 3.0, ""smoky_peaty"": 0.0, ""oak_cask"": 7.0, ""floral_herbal"": 13.0, ""malty_cereal"": 63.0}","{""citrus"": 2.0, ""raisins"": 1.0, ""dry"": 2.0, ""earthy"": 1.0, ""light"": 31.0, ""mellow"": 2.0, ""old"": 3.0, ""smooth"": 6.0, ""chocolate"": 3.0, ""cinnamon"": 3.0, ""corn"": 2.0, ""honey"": 5.0, ""tea"": 1.0, ""toffee"": 2.0, ""floral"": 4.0, ""tobacco"": 1.0, ""vanilla"": 4.0, ""wood"": 2.0, ""sherry"": 1.0, ""bitter"": 2.0, ""creamy"": 10.0, ""oak"": 3.0, ""salty"": 4.0, ""sweet"": 12.0, ""green"": 8.0, ""caramel"": 7.0}","[""light"", ""sweet"", ""creamy"", ""green"", ""caramel""]",production_data.csv,100,high,MAPPED
WDB-01359,W001359,johnnie walker red label,Johnnie Walker Red Label,Johnnie Walker Red Label,100,exact,"{""fruity"": 0.0, ""sweet"": 2.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 0.0, ""malty_cereal"": 4.0}","{""light"": 2.0, ""lingering"": 2.0, ""wood"": 1.0, ""sweet"": 2.0}","[""light"", ""lingering"", ""sweet"", ""wood""]",production_data.csv,100,high,MAPPED
WDB-01213,W001213,jura prophecy,Jura Prophecy,Jura Prophecy,100,exact,"{""fruity"": 2.0, ""sweet"": 4.0, ""spicy"": 3.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 2.0}","{""lemon"": 2.0, ""cinnamon"": 1.0, ""honey"": 1.0, ""vanilla"": 1.0, ""creamy"": 2.0, ""spicy"": 2.0, ""sweet"": 2.0}","[""lemon"", ""creamy"", ""spicy"", ""sweet"", ""cinnamon""]",production_data.csv,100,high,MAPPED
WDB-00460,W000460,kavalan solist ex-bourbon,Kavalan Solist Ex-Bourbon,Kavalan Solist Ex-Bourbon,100,exact,"{""fruity"": 2.0, ""sweet"": 6.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 0.0, ""malty_cereal"": 10.0}","{""fruity"": 2.0, ""complex"": 2.0, ""dry"": 1.0, ""light"": 2.0, ""lingering"": 2.0, ""vanilla"": 3.0, ""wood"": 1.0, ""sherry"": 1.0, ""amber"": 2.0, ""caramel"": 3.0}","[""vanilla"", ""caramel"", ""fruity"", ""complex"", ""light""]",production_data.csv,100,high,MAPPED
WDB-00056,W000056,kavalan solist vinho barrique,Kavalan Solist Vinho Barrique,Kavalan Solist Vinho Barrique,100,exact,"{""fruity"": 3.0, ""sweet"": 23.0, ""spicy"": 7.0, ""smoky_peaty"": 0.0, ""oak_cask"": 8.0, ""floral_herbal"": 6.0, ""malty_cereal"": 10.0}","{""orange"": 2.0, ""raisins"": 1.0, ""dry"": 2.0, ""heavy"": 2.0, ""chocolate"": 10.0, ""cinnamon"": 1.0, ""tea"": 2.0, ""coffee"": 2.0, ""floral"": 4.0, ""licorice"": 2.0, ""peppery"": 2.0, ""vanilla"": 6.0, ""nutty"": 2.0, ""oak"": 4.0, ""rich"": 6.0, ""spicy"": 2.0, ""sweet"": 2.0, ""caramel"": 5.0}","[""chocolate"", ""vanilla"", ""rich"", ""caramel"", ""floral""]",production_data.csv,100,high,MAPPED
WDB-01191,W001191,kilchoman 100% islay (all editions),Kilchoman 100% Islay 3rd Edition,Kilchoman 100% Islay (all editions),100,exact,"{""fruity"": 4.0, ""sweet"": 2.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 2.0, ""malty_cereal"": 1.0}","{""cherry"": 1.0, ""lemon"": 2.0, ""zest"": 1.0, ""mild"": 1.0, ""cinnamon"": 2.0, ""floral"": 2.0, ""vanilla"": 1.0, ""nutty"": 1.0, ""caramel"": 1.0}","[""lemon"", ""cinnamon"", ""floral"", ""cherry"", ""zest""]",production_data.csv,100,high,MAPPED
WDB-00137,W000137,kilchoman loch gorm,Kilchoman Loch Gorm,Kilchoman Loch Gorm,100,exact,"{""fruity"": 7.0, ""sweet"": 8.0, ""spicy"": 4.0, ""smoky_peaty"": 3.0, ""oak_cask"": 7.0, ""floral_herbal"": 0.0, ""malty_cereal"": 15.0}","{""apple"": 1.0, ""citrus"": 2.0, ""lemon"": 2.0, ""raisins"": 1.0, ""zest"": 1.0, ""earthy"": 2.0, ""heavy"": 2.0, ""light"": 2.0, ""old"": 1.0, ""candy"": 2.0, ""cinnamon"": 1.0, ""toffee"": 1.0, ""nutmeg"": 1.0, ""peaty"": 3.0, ""vanilla"": 3.0, ""sherry"": 4.0, ""oak"": 5.0, ""rich"": 2.0, ""salty"": 4.0, ""spicy"": 2.0, ""caramel"": 2.0}","[""oak"", ""sherry"", ""salty"", ""peaty"", ""vanilla""]",production_data.csv,100,high,MAPPED
