original_file,recovered_path,size_bytes,md5_checksum,copy_status
output\final\60_FINAL_import_ready_whiskies_distillery_patched.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\final\60_FINAL_import_ready_whiskies_distillery_patched.csv,232408,b31269ff9c174301b1d5591a23386047,OK
output\final\67_FINAL_import_ready_distilleries_whiskycom_enriched.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\final\67_FINAL_import_ready_distilleries_whiskycom_enriched.csv,64408,0ee25bcdbc4edc5662bb7bc570a1a142,OK
output\final\65_FINAL_IMPORT_FILE_MANIFEST.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\final\65_FINAL_IMPORT_FILE_MANIFEST.csv,697,55ae2d521484f6cf6df11fd70541afa4,OK
output\final\62_distillery_patch_diff.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\final\62_distillery_patch_diff.csv,3763,2837db5d968e1a4fce3b6a37595a8c67,OK
output\final\63_remaining_orphan_whiskies_after_patch.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\final\63_remaining_orphan_whiskies_after_patch.csv,122339,6b8bf29fd8ed4ccd330e621a37954c43,OK
output\orphan\bulk\08_orphan_bulk_high_confidence_patch.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\orphan\bulk\08_orphan_bulk_high_confidence_patch.csv,7345,719054aee4e19cd7b3e54d7693e6468a,OK
scripts\70_import_dry_run_validator.py,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\scripts\70_import_dry_run_validator.py,4061,50300e12fc7571e5fc473e7b7d68eaed,OK
scripts\71_import_to_staging.py,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\scripts\71_import_to_staging.py,6754,6300872bb18d0a5a8ebf425e308787f9,OK
scripts\72_production_import_seeder.py,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\scripts\72_production_import_seeder.py,9623,02c2cf8d378567cba702f30915e81c42,OK
output\import\staging_test.db,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\staging_test.db,253952,4e370c7c7916cb6a9d3b22e2c0fb5db6,OK
output\import\production.db,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\production.db,286720,e2e97ebb170e37b42cf4d5b9c4629337,OK
output\import\02_import_dry_run_validation_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\02_import_dry_run_validation_report.txt,232,032d07e2afbec3050ecf1568fa56e632,OK
output\import\03_import_fk_errors.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\03_import_fk_errors.csv,30,3557728de3948c7a43bee43edc9b5bd5,OK
output\import\04_import_duplicate_errors.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\04_import_duplicate_errors.csv,17,620b109e3250e78bac00a465cf4829ce,OK
output\import\05_import_nullable_summary.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\05_import_nullable_summary.csv,54,b6f9a5a19607f3f3866a61c9314affa4,OK
output\import\06_staging_import_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\06_staging_import_report.txt,259,c9461a6bc76859221c69c8f823af637d,OK
output\import\07_staging_import_counts.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\07_staging_import_counts.csv,83,f138fbce69c58c3dc07fdeb6fe7180e9,OK
output\import\08_staging_import_errors.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\08_staging_import_errors.csv,2,81051bcc2cf1bedf378224b0a93e2877,OK
output\import\09_post_import_smoke_test_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\09_post_import_smoke_test_report.txt,646,9454e3813b2a96b2e799850bd4a9ed72,OK
output\import\10_production_import_dry_run_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\10_production_import_dry_run_report.txt,781,0abe380657e1bae97f41a025a8e0c76f,OK
output\import\11_production_import_plan.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\11_production_import_plan.csv,196,d9c127910d08350bf42559c80bc731d6,OK
output\import\12_production_import_risk_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\12_production_import_risk_report.txt,407,57f322b7ae8ccbd76ad5cd0cde547eef,OK
output\import\13_production_backup_manifest.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\13_production_backup_manifest.txt,283,56c7329e825f47f483b978d3f57771ab,OK
output\import\17_production_import_dry_run_flavor_fix_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\17_production_import_dry_run_flavor_fix_report.txt,1219,266c0dba8f88059df63095cd532905bb,OK
output\import\18_production_import_plan_with_flavor.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\18_production_import_plan_with_flavor.csv,196,d9c127910d08350bf42559c80bc731d6,OK
output\import\19_flavor_profile_import_validation.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\19_flavor_profile_import_validation.csv,356,b0d176a30e605426911c21fdc1396be6,OK
output\import\20_flavor_119_vs_122_diff_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\20_flavor_119_vs_122_diff_report.txt,1229,bfed850f62bc90988b978d520de17a38,OK
output\import\21_flavor_extra_3_records.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\21_flavor_extra_3_records.csv,1786,e4f4e93c8182226a1ac0e3c5a9439550,OK
output\import\22_flavor_import_ready_cleaned.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\22_flavor_import_ready_cleaned.csv,63909,e4e33656d78be199c19b828210295c26,OK
output\import\23_flavor_import_ready_validation_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\23_flavor_import_ready_validation_report.txt,307,362e2acb6b0754c0ab37187cf887d9f0,OK
output\import\24_production_import_dry_run_final_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\24_production_import_dry_run_final_report.txt,752,199a4c200b3343da4151728be8bd8be2,OK
output\import\25_final_execute_readiness_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\25_final_execute_readiness_report.txt,408,1e96aaaa84a2388e53cf0498dc4dd099,OK
output\import\27_production_pre_execute_gate_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\27_production_pre_execute_gate_report.txt,779,53d53a1bedb842ed25f926d468791301,OK
output\import\28_execute_command_checklist.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\28_execute_command_checklist.txt,434,abe50cadbb5ca7fad4b438881f9c6cf5,OK
output\import\29_import_manifest_updated_with_whiskycom_distillery.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\29_import_manifest_updated_with_whiskycom_distillery.csv,697,55ae2d521484f6cf6df11fd70541afa4,OK
output\import\29_production_execute_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\29_production_execute_report.txt,273,66eac5493118ccb5f566888443d32761,OK
output\import\30_distillery_67_vs_55_schema_diff.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\30_distillery_67_vs_55_schema_diff.txt,516,277ee086175aaa2d9205e1efdc5af093,OK
output\import\30_production_post_import_counts.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\30_production_post_import_counts.csv,70,c51edda5b2ebfd9a6e02c6236680ed40,OK
output\import\31_distillery_67_fk_readiness_check.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\31_distillery_67_fk_readiness_check.txt,382,cad8aa8678a000170ab3d93c1c63ad88,OK
output\import\31_production_post_import_fk_check.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\31_production_post_import_fk_check.txt,153,2a83d25fba4226d27721e20b333fee38,OK
output\import\32_production_import_dry_run_with_67_distillery.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\32_production_import_dry_run_with_67_distillery.txt,940,778cd20703dc6278c21d6040d6435335,OK
output\import\32_production_post_import_sample_queries.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\32_production_post_import_sample_queries.txt,1093,935567cdf2d0dcf22d2df164b15c8ec4,OK
output\import\33_pre_execute_gate_with_67_distillery.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\33_pre_execute_gate_with_67_distillery.txt,634,6625db2fbcf6524f2769a9f92423b687,OK
